,Period,household,time_of_day,daily_sum
406,P5,17,afternoon,1.2421786931618037
407,P5,17,evening,0.8165605434781515
408,P5,18,night,-0.29909318605460733
409,P5,18,morning,1.5363026403439302
410,P5,18,afternoon,0.9443747757223819
411,P5,18,evening,-0.48592808029297546
412,P5,19,night,-0.3745447847022726
413,P5,19,morning,0.2699879888676873
414,P5,19,afternoon,0.22277297577301416
415,P5,19,evening,-0.2206324559495607
416,P5,20,night,-0.25793776861042633
417,P5,20,morning,2.5687120377258346
418,P5,20,afternoon,2.1499079415108096
419,P5,20,evening,1.0183545556117062
420,P6,0,night,-0.5948473133740653
421,P6,0,morning,0.6953959682353207
422,P6,0,afternoon,0.19045634187505497
423,P6,0,evening,0.703910699342057
424,P6,1,night,-0.5391664544789968
425,P6,1,morning,-1.2956792981440677
426,P6,1,afternoon,-1.573970508256243
427,P6,1,evening,0.0005919640225668816
428,P6,2,night,-0.5214131371501343
429,P6,2,morning,-0.0263688158272077
430,P6,2,afternoon,0.4003099265542079
431,P6,2,evening,-0.9714432639317901
432,P6,3,night,-0.7312250692185083
433,P6,3,morning,0.17034559150017872
434,P6,3,afternoon,-0.08075794007870382
435,P6,3,evening,-0.9628957453359233
436,P6,4,night,-0.5423943303569718
437,P6,4,morning,-0.4818272830114929
438,P6,4,afternoon,-0.48328411420012
439,P6,4,evening,0.43176093272837174
440,P6,5,night,-0.6263191031843213
441,P6,5,morning,0.20136041776493446
442,P6,5,afternoon,-0.05805448208709978
443,P6,5,evening,0.42631793739609763
444,P6,6,night,-0.6997532794082522
445,P6,6,morning,-0.4208506029786239
446,P6,6,afternoon,-0.18286214034364828
447,P6,6,evening,-0.18874053515083086
448,P6,7,night,3.956572955852017
449,P6,7,morning,-1.4288324565831891
450,P6,7,afternoon,-0.9692608366150002
451,P6,7,evening,-0.08858942103699499
452,P6,8,night,-0.7312250692185083
453,P6,8,morning,-0.20432116775986534
454,P6,8,afternoon,-1.0962774799734347
455,P6,8,evening,-1.2142008557511974
456,P6,9,night,-0.7312250692185083
457,P6,9,morning,0.11985077404752878
458,P6,9,afternoon,-0.35626747084168514
459,P6,9,evening,-1.356388641508132
460,P6,10,night,-0.5423943303569718
461,P6,10,morning,0.8161049062595711
462,P6,10,afternoon,0.654343213271077
463,P6,10,evening,0.42196354113027873
464,P6,11,night,-0.652545594692868
465,P6,11,morning,1.1309436827558117
466,P6,11,afternoon,-0.0028298545399542225
467,P6,11,evening,-1.2479474268112944
468,P6,12,night,-0.6735267878997054
469,P6,12,morning,-1.733715856747533
470,P6,12,afternoon,-1.7622864881920093
471,P6,12,evening,-1.504568647918199
472,P6,13,night,-0.6315644014860307
473,P6,13,morning,0.8335268148403904
474,P6,13,afternoon,1.729014465338528
475,P6,13,evening,1.3233235681548052
476,P6,14,night,-0.7312250692185083
477,P6,14,morning,-0.2628090037097601
478,P6,14,afternoon,-0.6467490117396704
479,P6,14,evening,-0.7014706954510143
480,P6,15,night,-0.6577908929945774
481,P6,15,morning,1.1894315187057056
482,P6,15,afternoon,2.767237463224863
483,P6,15,evening,2.140861467062316
484,P6,16,night,-0.30111060847834176
485,P6,16,morning,-1.1339044327507424
486,P6,16,afternoon,0.6709106015352208
487,P6,16,evening,0.4567987112568306
488,P6,17,night,-0.7259797709167989
489,P6,17,morning,1.5229366258242532
490,P6,17,afternoon,1.4407419095424288
491,P6,17,evening,0.7735810395951607
492,P6,18,night,-0.4254991110617348
493,P6,18,morning,1.2043645832035517
494,P6,18,afternoon,0.7791508715276263
495,P6,18,evening,-0.5708388074764452
496,P6,19,night,-0.38983108261011123
497,P6,19,morning,0.3332691541625691
498,P6,19,afternoon,0.7073588557163365
499,P6,19,evening,-0.2268415024767468
500,P6,20,night,-0.09654397471167711
501,P6,20,morning,2.5209631030969217
502,P6,20,afternoon,2.471233459572164
503,P6,20,evening,1.741345609673426
504,P7,0,night,-0.6711526002473528
505,P7,0,morning,0.5994717692040221
506,P7,0,afternoon,0.056824248341702334
507,P7,0,evening,0.5447824628883132
508,P7,1,night,-0.020566623553584167
509,P7,1,morning,-1.6129126443262
510,P7,1,afternoon,-1.3721533432574586
511,P7,1,evening,-0.33579889560578424
512,P7,2,night,-0.4897227932439737
513,P7,2,morning,-0.4172599268797499
514,P7,2,afternoon,0.37494111327473795
515,P7,2,evening,-0.8994823298096882
516,P7,3,night,-0.3313676976292546
517,P7,3,morning,1.009158838174859
518,P7,3,afternoon,0.7143999957285978
519,P7,3,evening,-0.5303792088398773
520,P7,4,night,-0.5303577510962071
521,P7,4,morning,-0.062470017759932765
522,P7,4,afternoon,0.05360281173478515
523,P7,4,evening,0.8698313403875336
524,P7,5,night,-0.6448708950724722
525,P7,5,morning,0.29322728243180124
526,P7,5,afternoon,0.13816552266635168
527,P7,5,evening,0.511444116478137
528,P7,6,night,-0.6918025114561874
529,P7,6,morning,-0.27343844198079564
530,P7,6,afternoon,-0.2455881131326143
531,P7,6,evening,-0.19104246859343862
532,P7,7,night,2.1315057559873205
533,P7,7,morning,-1.4217418434926326
534,P7,7,afternoon,-1.1737645355005233
535,P7,7,evening,-0.6863550438303457
536,P7,8,night,-0.7068206286989763
537,P7,8,morning,-0.4667127402992639
538,P7,8,afternoon,-1.358191781246511
539,P7,8,evening,-1.2467567715823595
540,P7,9,night,-0.712647971066621
541,P7,9,morning,-0.08742327223766945
542,P7,9,afternoon,-0.2174169787231482
543,P7,9,evening,-1.409082767793814
544,P7,10,night,-0.09295508639998136
545,P7,10,morning,0.4370487673307555
546,P7,10,afternoon,0.6221863728556036
547,P7,10,evening,0.6142373512428476
548,P7,11,night,-0.7312250692185083
549,P7,11,morning,1.3521526633597458
550,P7,11,afternoon,0.5879586089071123
551,P7,11,evening,-1.0673647170895053
552,P7,12,night,-0.7312250692185083
553,P7,12,morning,-1.7084774222186223
554,P7,12,afternoon,-1.6312085336827113
555,P7,12,evening,-1.483300277064088
556,P7,13,night,-0.7229939857296721
557,P7,13,morning,1.203629242906309
558,P7,13,afternoon,1.937083869743081
559,P7,13,evening,1.3540555571847193
560,P7,14,night,-0.7011888347329305
561,P7,14,morning,-1.1118677924327414
562,P7,14,afternoon,-1.4371169781159732
563,P7,14,evening,-1.034026370679329
564,P7,15,night,-0.6354845717957293
565,P7,15,morning,0.9955479720960938
566,P7,15,afternoon,1.6212344005756825
567,P7,15,evening,2.2541664865624798
568,P7,16,night,0.09545579854047549
569,P7,16,morning,-1.291077529136485
570,P7,16,afternoon,0.7357420132494216
571,P7,16,evening,0.2943479797356782
572,P7,17,night,-0.6561344830045639
573,P7,17,morning,0.4334192030430843
